CMPLNT_FR_DT,CMPLNT_FR_TM,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
6/1/2017,17:38:00,MISDEMEANOR,MANHATTAN,"987,122","217,093",40.76255434,-73.98963399
6/1/2017,17:44:00,MISDEMEANOR,MANHATTAN,"982,992","210,566",40.74463976,-74.00454141
6/1/2017,17:45:00,MISDEMEANOR,MANHATTAN,"1,003,718","230,138",40.79833844,-73.92968731
6/1/2017,17:45:00,MISDEMEANOR,MANHATTAN,"997,839","225,593",40.78587464,-73.95093015
6/1/2017,17:49:00,MISDEMEANOR,MANHATTAN,"988,032","222,449",40.77725483,-73.98634602
6/1/2017,17:50:00,MISDEMEANOR,MANHATTAN,"984,435","202,469",40.72241557,-73.99933403
6/1/2017,17:50:00,VIOLATION,MANHATTAN,"999,998","226,211",40.7875673,-73.94313233
6/1/2017,17:50:00,MISDEMEANOR,MANHATTAN,"989,098","214,039",40.75417103,-73.98250315
6/1/2017,17:55:00,MISDEMEANOR,MANHATTAN,"993,569","217,891",40.7647402,-73.96636025
6/1/2017,18:00:00,MISDEMEANOR,MANHATTAN,"982,746","206,647",40.73388303,-74.00542831
6/1/2017,18:00:00,MISDEMEANOR,MANHATTAN,"982,114","207,019",40.73490395,-74.00770887
6/1/2017,18:00:00,MISDEMEANOR,MANHATTAN,"986,472","200,907",40.71812798,-73.99198573
6/1/2017,18:00:00,VIOLATION,MANHATTAN,"987,992","210,462",40.7443536,-73.98649712
6/1/2017,18:00:00,MISDEMEANOR,MANHATTAN,"983,085","202,273",40.72187752,-74.00420434
6/1/2017,18:00:00,MISDEMEANOR,MANHATTAN,"1,006,294","253,792",40.86325582,-73.92030564
6/1/2017,18:03:00,MISDEMEANOR,MANHATTAN,"983,978","212,404",40.74968469,-74.00098314
6/1/2017,18:05:00,VIOLATION,MANHATTAN,"1,001,575","232,339",40.80438405,-73.93742167
6/1/2017,18:09:00,MISDEMEANOR,MANHATTAN,"982,186","198,967",40.71280318,-74.0074466
6/1/2017,18:10:00,MISDEMEANOR,MANHATTAN,"1,002,105","235,064",40.81186236,-73.93550001
